년도	분기	표준코드	분류	지점_명칭	지점_주소	심도	심도구분	수위	pH	EC	DO	ORP	T	Na+	K+	Ca2+	Mg2+	염소이온	황산이온	중탄산염이온	탄산염이온	질산염이온	질산성질소	카드뮴	비소	시안	수은	페놀	납	크롬	TCE	PCE	1.1.1-TCE	벤젠	톨루엔	에틸벤젠	크실렌	총대장균군	탁도
2013	1분기	GW-GAG-E1-0001	기타(매립지)	강릉강동	강원도 강릉시 강동면 임곡리 산25	13	1	12.1	4.4	576	2.9	172	15.6	23	9.1	12	24.6	29.4	195.9	불검출	불검출	36.8	8.3	0.003	0.005	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	<2	404.67
2013	1분기	GW-GAG-E1-0002	기타(매립지)	강릉강동	강원도 강릉시 강동면 임곡리 산25	30	2	13.48	5.6	1241	7	207	15	21	3.4	115.2	83.9	7.9	669.3	27	불검출	4.3	1	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	<2	0.94
2013	1분기	GW-GAG-E1-0003	기타(매립지)	강릉강동	강원도 강릉시 강동면 임곡리 산25	150	3	기존공	6.9	133	7.5	98	15.6	4.8	0.5	14.6	2.2	6.9	17.9	40	불검출	1.5	0.3	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	<2	0.17
2013	1분기	GW-GAG-E1-0004	기타(도심지)	강릉교동	강원도 강릉시 교2동 408	12	1	5.01	6.4	408	0.4	-97	18.9	34.8	1.2	69.8	30.6	94.8	3.9	275	불검출	1.3	0.3	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	<2	22.17
2013	1분기	GW-GAG-E1-0005	기타(도심지)	강릉교동	강원도 강릉시 교2동 408	30	2	5.25	6.5	495	0.1	-75	17.1	25.5	2.2	37.3	20.1	42.8	11.8	176	불검출	2.1	0.5	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	<2	0.91
2013	1분기	GW-GAG-E1-0006	기타(도심지)	강릉교동	강원도 강릉시 교2동 408	150	3	2.7	7	367	8.1	130	15.1	17.2	2.6	34.2	14.4	12.1	12.2	148	불검출	20.9	4.7	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	<2	0.49
2013	1분기	GW-GAG-E1-0010	기타(도심지)	강릉두산	강원도 강릉시 두산동 10	10	1	2.41	6.3	683	0.2	-104	16.8	65.6	7.4	21.7	22	120.3	45.2	77	불검출	1.2	0.3	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	<2	3.79
2013	1분기	GW-GAG-E1-0011	기타(도심지)	강릉두산	강원도 강릉시 두산동 10	30	2	2.29	7.4	3740	0.1	-106	16.9	677.5	15.6	30.5	39.5	998.2	132	111	불검출	불검출	불검출	불검출	0.005	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	<2	6.57
2013	1분기	GW-GAG-E1-0012	기타(도심지)	강릉두산	강원도 강릉시 두산동 10	80	3	4.02	6.8	36500	0.1	-101	17.9	5683.2	71.3	2014.4	1558.4	14503.4	1420.6	120	불검출	1	0.2	불검출	불검출	불검출	불검출	불검출	불검출	0.06	불검출	불검출	불검출	불검출	불검출	불검출	불검출	<2	15.4
2013	1분기	GW-GAG-E1-0007	기타(도심지)	강릉장현	강원도 강릉시 장현동 74-7	10	1	3.51	6.1	322	0.7	-148	15.8	24.5	2.6	10.1	7.8	35.6	23.8	55	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	<2	71.37
2013	1분기	GW-GAG-E1-0008	기타(도심지)	강릉장현	강원도 강릉시 장현동 74-7	30	2	3.61	6.3	233	0.1	-201	15.9	21.3	1.8	3.5	3.6	27	3	42	불검출	1.2	0.3	불검출	0.008	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	<2	68.87
2013	1분기	GW-GAG-E1-0009	기타(도심지)	강릉장현	강원도 강릉시 장현동 74-7	120	3	기존공	6.7	182	3.8	-42	16.3	11.9	3.4	10.3	6.1	10.6	7	67	불검출	4.2	0.9	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	<2	0.27
2013	1분기	GB-GYS-E1-0001	산업단지	경산진량	경북 경산시 진량읍 신상리 685-21	20	1	4.45	6.7	628	1.2	236	16.3	34.6	2.6	86.3	35.8	70.2	67.6	281	불검출	2.7	0.6	불검출	불검출	-	불검출	-	불검출	불검출	-	-	-	불검출	불검출	불검출	불검출	<2	-
2013	1분기	GB-GYS-E1-0002	산업단지	경산진량	경북 경산시 진량읍 신상리 685-21	50	2	4.38	6.8	654	0.5	212	16.3	38.3	2.8	87	35.8	93	91.4	234	불검출	불검출	불검출	불검출	불검출	-	불검출	-	불검출	불검출	-	-	-	불검출	불검출	불검출	불검출	<2	-
2013	1분기	GJ-BKK-E1-0001	산업단지	광주월출	광주시 북구 월출동 971-35	60	3	기존공	6.9	357	3.1	-13	17.5	28.2	1.3	25.7	4.5	19	7.1	126	불검출	1.8	0.4	불검출	불검출	-	불검출	-	불검출	불검출	-	-	-	불검출	불검출	불검출	불검출	<2	-
2013	1분기	DE-DSG-E1-0001	관입화성암(화강암)	대구논공	충청남도 당진시 정미면 천의리 276-1	10	1	2.05	6.6	246	0.5	617	17.5	8.6	1	14.2	8.9	9.5	불검출	109	불검출	0.5	0.1	불검출	0.026	-	불검출	-	불검출	불검출	-	-	-	불검출	불검출	불검출	불검출	-	-
2013	1분기	DE-DSG-E1-0002	관입화성암(화강암)	대구논공	충청남도 당진시 정미면 천의리 276-1	29	2	2.1	7	532	3	204	17.2	15.7	2.9	59.1	23	53.4	37	132	불검출	51.5	11.6	불검출	불검출	-	불검출	-	불검출	불검출	-	-	-	불검출	불검출	불검출	불검출	-	-
2013	1분기	DE-DSO-E1-0001	산업단지	대구대천	대구시 달서구 대천동 695	14	1	4.13	7	984	0.3	104	21.3	127.2	11.2	89.1	19.2	39.5	250.8	306	불검출	1	0.2	불검출	불검출	-	불검출	-	불검출	불검출	-	-	-	불검출	불검출	불검출	불검출	<2	-
2013	1분기	DE-DSO-E1-0002	산업단지	대구대천	대구시 달서구 대천동 695	32	2	6.04	6.9	835	0.6	-23	18.9	64.8	3.1	96.6	24.6	66.7	156.7	256	불검출	불검출	불검출	불검출	불검출	-	불검출	-	불검출	불검출	-	-	-	불검출	불검출	불검출	불검출	<2	-
2013	1분기	DE-SOG-E1-0001	산업단지	대구비산	대구시 서구 비산동 3064	12	1	6.82	8.7	4770	2.4	-175	24	1152.9	10.6	41.5	27.8	58.4	1720.6	993	불검출	불검출	불검출	불검출	0.141	-	불검출	불검출	불검출	불검출	-	-	-	불검출	불검출	0.001	0.001	-	-
2013	1분기	DE-SOG-E1-0002	산업단지	대구비산	대구시 서구 비산동 3064	30	2	8.53	6.4	1157	0.3	141	21.1	39.5	4.4	153.8	52.4	107.5	26.1	555	불검출	불검출	불검출	불검출	불검출	-	불검출	불검출	불검출	불검출	-	-	-	불검출	불검출	불검출	불검출	-	-
2013	1분기	GN-MRY-E1-0004	하수처리시설	밀양기산	경남 밀양시 상남면 기산리 34-2번지	100	3	기존공	5.5	339	0.1	131	17.9	20.9	2.4	21	7.1	25	56.2	37	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	<2	8.49
2013	1분기	GN-SAC-E1-0001	산업단지	사천사남	경남 사천시 사남면 방지리 200	8	1	5.58	7	1158	3.6	200	22.4	103	15.4	49.6	56.8	38.8	139.3	440	불검출	6.6	1.5	불검출	불검출	-	불검출	-	불검출	불검출	-	-	-	불검출	불검출	불검출	불검출	8	-
2013	1분기	GN-SAC-E1-0002	산업단지	사천사남	경남 사천시 사남면 방지리 200	32	2	5.61	7.6	1195	0.6	-106	18.4	169	12.5	34.7	24.2	126.1	112.4	316	불검출	불검출	불검출	불검출	0.01	-	불검출	-	불검출	불검출	-	-	-	불검출	불검출	불검출	불검출	<2	-
2013	1분기	GN-YAS-E1-0001	산업단지	양산교동	경남 양산시 교동 90	7.5	1	1.14	6.8	357	2	136	17	35.2	3.2	21.8	11	27.3	43.5	100	불검출	13.2	3	불검출	불검출	-	불검출	-	불검출	불검출	-	-	-	불검출	불검출	불검출	불검출	<2	-
2013	1분기	GN-YAS-E1-0002	산업단지	양산교동	경남 양산시 교동 90	36	2	1.46	7.5	407	0.2	-62	18.2	22.8	4.2	25.1	11.4	25.7	49.2	75	불검출	4.2	1	불검출	불검출	-	불검출	-	불검출	불검출	-	-	-	불검출	불검출	불검출	불검출	23	-
2013	1분기	GN-YAS-E1-0003	산업단지	양산북정	경남 양산시 북정동 383	10	1	4.33	6.1	521	0.6	230	17.5	21.4	12.3	36.6	12.2	21	38.7	184	불검출	4.7	1.1	불검출	불검출	-	불검출	-	불검출	불검출	-	-	-	불검출	불검출	불검출	불검출	<2	-
2013	1분기	GN-YAS-E1-0004	산업단지	양산북정	경남 양산시 북정동 383	30	2	4.25	7.5	586	0.7	-38	16.8	93.2	4.9	26	7.1	43.9	13.7	237	불검출	불검출	불검출	불검출	0.011	-	불검출	-	불검출	불검출	-	-	-	불검출	불검출	불검출	불검출	<2	-
2013	1분기	GB-YJU-E1-0004	산업단지	영주대촌	경북 영주시 봉현면 대촌리 170번지	80	3	기존공	6.5	220	4.5	179	14.6	12.9	1.5	21.5	3.3	11.4	10.4	57	불검출	31.3	7.1	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	불검출	<2	0.08
2013	1분기	US-DGU-E1-0001	산업단지	울산방어	울산시 동구 방어동 1053	10	1	4.16	6	708	0.8	548	16.3	60.2	3.4	39.4	21.3	32.9	86.7	164	불검출	26.9	6.1	불검출	불검출	-	불검출	-	불검출	불검출	-	-	-	불검출	불검출	불검출	불검출	<2	-
2013	1분기	US-DGU-E1-0002	산업단지	울산방어	울산시 동구 방어동 1053	30	2	5.29	6.2	792	0.2	401	16.5	58.3	4.5	50.3	23.9	34.4	93.8	195	불검출	26.9	6.1	불검출	불검출	-	불검출	-	불검출	불검출	-	-	-	불검출	불검출	불검출	불검출	<2	-
