시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
어린이집,아이꿈터어린이집,경상북도 영주시 창진로 83 (가흥동),,36.8369368,128.6088921,경상북도 영주시,영주경찰서,Y,3,,2017-04-30
어린이집,천재어린이집,경상북도 영주시 풍기읍 기주로 37,,36.8682422,128.5310646,경상북도 영주시,영주경찰서,Y,3,,2017-04-30
어린이집,영광호크마어린이집,경상북도 영주시 이산면 이산로 124,,36.8239238,128.6493522,경상북도 영주시,영주경찰서,Y,1,,2017-04-30
어린이집,청목어린이집,경상북도 영주시 지천로 50번길 61 (휴천동),,36.8062585,128.6204581,경상북도 영주시,영주경찰서,Y,3,,2017-04-30
어린이집,우리어린이집,경상북도 영주시 가흥로 317-23 (가흥동),,36.8253399,128.6107883,경상북도 영주시,영주경찰서,Y,3,,2017-04-30
어린이집,봉산어린이집,경상북도 영주시 의상로 64 (상망동),,36.8426116,128.6425348,경상북도 영주시,영주경찰서,Y,5,,2017-04-30
어린이집,아이사랑어린이집,경상북도 영주시 창진로 37 (가흥동),,36.8342019,128.6125687,경상북도 영주시,영주경찰서,Y,3,,2017-04-30
어린이집,하정어린이집,경상북도 영주시 향교길 108-5 (하망동),,36.8316728,128.6320156,경상북도 영주시,영주경찰서,Y,2,,2017-04-30
어린이집,성모어린이집,경상북도 영주시 풍기읍 기주로 137,,36.8719729,128.5213782,경상북도 영주시,영주경찰서,Y,3,,2017-04-30
유치원,하나유치원,경상북도 영주시 구성로235번길 5 (휴천동),,36.8140682,128.6270038,경상북도 영주시,영주경찰서,Y,1,,2017-04-30
유치원,영주유치원,경상북도 영주시 광복로 37 (영주동),,36.8278494,128.6225309,경상북도 영주시,영주경찰서,Y,3,,2017-04-30
유치원,전원유치원,경상북도 영주시 가흥로 119 (가흥동),,36.8086728,128.6116128,경상북도 영주시,영주경찰서,Y,5,,2017-04-30
유치원,시민유치원,경상북도 영주시 구성로 301 (휴천동),,36.8195943,128.6268538,경상북도 영주시,영주경찰서,Y,6,,2017-04-30
유치원,자연유치원,경상북도 영주시 남간로71번길 55 (휴천동),,36.8207871,128.6348813,경상북도 영주시,영주경찰서,Y,5,,2017-04-30
유치원,현대유치원,경상북도 영주시 지천로 46 (휴천동),,36.8041985,128.6204347,경상북도 영주시,영주경찰서,Y,5,,2017-04-30
유치원,신영주유치원,경상북도 영주시 원당로 30 (가흥동),,36.8176927,128.6194679,경상북도 영주시,영주경찰서,Y,2,,2017-04-30
유치원,샛별유치원,경상북도 영주시 풍기읍 기주로81번길 7,,36.8692463,128.5266354,경상북도 영주시,영주경찰서,Y,2,,2017-04-30
초등학교,영주초등(병설포함),경상북도 영주시 광복로 55 (영주동),,36.8287549,128.6245091,경상북도 영주시,영주경찰서,Y,2,,2017-04-30
초등학교,중앙초등(병설포함),경상북도 영주시 중앙로126번길 33 (하망동),,36.8267052,128.6278339,경상북도 영주시,영주경찰서,Y,6,,2017-04-30
초등학교,동부초등(병설포함),경상북도 영주시 남간로25번길 46 (휴천동),,36.8209061,128.6311837,경상북도 영주시,영주경찰서,Y,6,,2017-04-30
초등학교,남부초등(병설포함),경상북도 영주시 대학로71번길 19 (휴천동),,36.8080576,128.6175604,경상북도 영주시,영주경찰서,Y,9,,2017-04-30
초등학교,남산초등(병설포함),경상북도 영주시 구성로 257 (휴천동),,36.8164084,128.6270505,경상북도 영주시,영주경찰서,Y,5,,2017-04-30
초등학교,영일초등(병설포함),경상북도 영주시 영주로147번길 17 (영주동),,36.8260384,128.6149851,경상북도 영주시,영주경찰서,Y,7,,2017-04-30
초등학교,서부초등(병설포함),경상북도 영주시 신재로 12 (가흥동),,36.8317876,128.6120602,경상북도 영주시,영주경찰서,Y,3,,2017-04-30
초등학교,풍기초등(병설포함),경상북도 영주시 풍기읍 성내리 22-1,,36.8713734,128.5246039,경상북도 영주시,영주경찰서,Y,8,,2017-04-30
초등학교,풍기북부(병설포함),경상북도 영주시 풍기읍 금계로72,,36.8795064,128.5257671,경상북도 영주시,영주경찰서,Y,4,,2017-04-30
초등학교,부석초등(병설포함),경상북도 영주시 부석면 부석로65번길 5,,36.9809136,128.6553392,경상북도 영주시,영주경찰서,Y,3,,2017-04-30
초등학교,이산초등(병설포함),경상북도 영주시 이산면 이산로 487,,36.8301823,128.6818784,경상북도 영주시,영주경찰서,Y,2,,2017-04-30
초등학교,장수초등(병설포함),경상북도 영주시 장수면 장수로 35,,36.7761054,128.5765543,경상북도 영주시,영주경찰서,Y,3,,2017-04-30
초등학교,평은초등(병설포함),경상북도 영주시 평은면 천상로 139,,36.7620186,128.6949552,경상북도 영주시,영주경찰서,Y,7,,2017-04-30
초등학교,문수초등(병설포함),경상북도 영주시 문수면 문수로1406번길 15-4,,36.7742291,128.6334724,경상북도 영주시,영주경찰서,Y,3,,2017-04-30
초등학교,안정초등(병설포함),경상북도 영주시 안정면 용주로 1414,,36.8458444,128.5554518,경상북도 영주시,영주경찰서,Y,4,,2017-04-30
초등학교,봉현초등(병설포함),경상북도 영주시 봉현면 소백로1623번길 6,,36.8473752,128.5257497,경상북도 영주시,영주경찰서,Y,6,,2017-04-30
초등학교,순흥초등(병설포함),경상북도 영주시 순흥면 순흥로 15,,36.9119045,128.5770612,경상북도 영주시,영주경찰서,Y,6,,2017-04-30
초등학교,옥대초등(병설포함),경상북도 영주시 단산면 아호로26번길 22,,36.9507596,128.6197125,경상북도 영주시,영주경찰서,Y,7,,2017-04-30
